"","archetype","placement","player","deck_id","deck_cost","slug","archetype_encoding","archetype_power_level"
"65","Fire King",3,"Jhon David Guerrero Sanchez","azamina-snake-eye-fire-king-544008",1022.02,"ycs-guayaquil-2362",17,0
"66","Fire King",1,"Landon Oliver","azamina-snake-eye-fire-king-543028",1085.37,"ycs-guayaquil-2362",17,0
"67","Fire King",1,"Dinh-Kha Bui","fire-king-568820",751.02,"ycs-birmingham-2704",17,0
"68","Fire King",10,"Daniel De Meza Guiterrez","azamina-snake-eye-fire-king-543685",1090.37,"ycs-guayaquil-2362",17,0
"69","Fire King",10,"Daniel Heffernan","azamina-snake-eye-fire-king-548411",1072.07,"ycs-bologna-2407",17,0
"70","Fire King",61,"Fatrim Zeqiri","",NA,"ycs-bologna-2407",17,0
"71","Fire King",5,"Ricardo Caleb Cummings II","",NA,"na-remote-duel-ycs-2385",17,0
"72","Fire King",6,"Bryan Dejesus Collazo","",NA,"na-remote-duel-ycs-2385",17,0
"73","Fire King",7,"Austin Colling","azamina-snake-eye-fire-king-544581",1110.66,"na-remote-duel-ycs-2385",17,0
"74","Fire King",19,"Felipe Bisserier Zapata","",NA,"na-remote-duel-ycs-2385",17,0
"75","Fire King",9,"Juan Augusto Renteria Pastor","",NA,"ycs-guayaquil-2362",17,0
"76","Fire King",10,"Julien Kehon","azamina-snake-eye-fire-king-544894",1115.98,"na-remote-duel-ycs-2385",17,0
"77","Floowandereeze",22,"Key Andree Chavez Curioso","",NA,"ycs-guayaquil-2362",31,0
"78","Floowandereeze",31,"Jean Carlos Flor","floowandereeze-543055",109.56,"ycs-guayaquil-2362",31,0
"79","Kashtira",55,"Francesco Seminara","kashtira-548615",615.26,"ycs-bologna-2407",26,0
"80","Kashtira",8,"Cesar Antonio Gonzales","",NA,"na-remote-duel-ycs-2385",26,0
"81","Kashtira",46,"Patrick Baumann","heatsoul-kashtira-549117",824.68,"ycs-bologna-2407",26,0
"82","Kashtira",14,"Lorenzo Muselli","kashtira-548049",613.9,"ycs-bologna-2407",26,0
"83","Kashtira",28,"Alessandro Boniolo","kashtira-548333",206.94,"ycs-bologna-2407",26,0
"84","Labrynth",27,"Pierangelo Campanelli","labrynth-549395",267.82,"ycs-bologna-2407",13,0
"85","Labrynth",23,"Benjamin Ignacio Munoz Mena","labrynth-543001",1110.48,"ycs-guayaquil-2362",13,0
"86","Labrynth",8,"Kaihuang Zhang","labrynth-590135",627.99,"ycs-houston-2930",13,0
"87","Maliss",3,"Roberto Lopez Arce","sky-striker-maliss-594710",664.71,"ycs-mexico-city-2972",1,0
"88","Maliss",48,"Tom Kleinegräber","maliss-568315",851.94,"ycs-birmingham-2704",1,0
"89","Maliss",5,"Danilo Siracusa","maliss-567683",818.72,"ycs-birmingham-2704",1,0
"90","Maliss",13,"George Lucas Sacco","kashtira-maliss-589131",629.35,"ycs-houston-2930",1,0
"91","Maliss",12,"Esala Wathuthantrige","",NA,"ycs-anaheim-2473",1,0
"92","Maliss",24,"Christopher Cushman","bystial-maliss-565907",659.04,"ycs-orlando-2684",1,0
"93","Maliss",16,"Javier Torres Campos","fiendsmith-maliss-594591",734.01,"ycs-mexico-city-2972",1,0
"94","Maliss",29,"Christopher Nicdao","maliss-576084",888.89,"ycs-sydney-2783",1,0
"95","Maliss",9,"Luis Cristhian Villalpando Chavez","fiendsmith-bystial-kashtira-maliss-595165",749.24,"ycs-mexico-city-2972",1,0
"96","Maliss",23,"Etzael Ivan Sosa Hedding","maliss-594437",488.5,"ycs-mexico-city-2972",1,0
"97","Maliss",29,"Logan Kite","maliss-564849",776.31,"ycs-orlando-2684",1,0
"98","Maliss",43,"Matthew Vanden-Heuvel","",NA,"ycs-orlando-2684",1,0
"99","Maliss",63,"Evgeni Ganev","",NA,"ycs-birmingham-2704",1,0
"100","Maliss",49,"Carlos Baez Velez","fiendsmith-maliss-565916",850,"ycs-orlando-2684",1,0
"101","Maliss",46,"Duncan Tucker","",NA,"ycs-orlando-2684",1,0
