"","X","id","name","copies","deck_part","deck_id","archetype"
"96",9,88307361,"Superancient Deepsea King Coelacanth",1,0,"atlantean-mermail-548094","Mermail"
"97",10,42141493,"Mulcharmy Fuwalos",3,0,"atlantean-mermail-548094","Mermail"
"98",11,84192580,"Mulcharmy Purulia",3,0,"atlantean-mermail-548094","Mermail"
"99",12,14558128,"Ash Blossom & Joyous Spring",3,0,"atlantean-mermail-548094","Mermail"
"100",13,81878201,"Abyss-sting Triaina",1,0,"atlantean-mermail-548094","Mermail"
"101",14,24224830,"Called by the Grave",1,0,"atlantean-mermail-548094","Mermail"
"102",15,2295440,"One for One",1,0,"atlantean-mermail-548094","Mermail"
"103",16,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-548094","Mermail"
"104",17,80534031,"Virtue Stream",1,0,"atlantean-mermail-548094","Mermail"
"105",18,40366667,"Dominus Impulse",3,0,"atlantean-mermail-548094","Mermail"
"106",0,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1,"atlantean-mermail-548094","Mermail"
"107",1,74371660,"Mermail Abyssgaios",1,1,"atlantean-mermail-548094","Mermail"
"108",2,67557908,"Number 4: Stealth Kragen",1,1,"atlantean-mermail-548094","Mermail"
"109",3,33113958,"LeVirtue Dragon",1,1,"atlantean-mermail-548094","Mermail"
"110",4,440556,"Bahamut Shark",2,1,"atlantean-mermail-548094","Mermail"
"111",5,90809975,"Toadally Awesome",2,1,"atlantean-mermail-548094","Mermail"
"112",6,21044178,"Abyss Dweller",1,1,"atlantean-mermail-548094","Mermail"
"113",7,79130389,"Marincess Coral Anemone",2,1,"atlantean-mermail-548094","Mermail"
"114",8,23545031,"Mermail Abyssalacia",1,1,"atlantean-mermail-548094","Mermail"
"115",9,82184400,"Abyss Keeper",1,1,"atlantean-mermail-548094","Mermail"
"116",10,45112597,"Worldsea Dragon Zealantis",1,1,"atlantean-mermail-548094","Mermail"
"117",11,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-548094","Mermail"
"118",0,91800273,"Dimension Shifter",1,2,"atlantean-mermail-548094","Mermail"
"119",1,94145021,"Droll & Lock Bird",3,2,"atlantean-mermail-548094","Mermail"
"120",2,38814750,"PSY-Framegear Gamma",1,2,"atlantean-mermail-548094","Mermail"
"121",3,74203495,"PSY-Framegear Delta",2,2,"atlantean-mermail-548094","Mermail"
"122",4,49036338,"PSY-Frame Driver",1,2,"atlantean-mermail-548094","Mermail"
"123",5,84211599,"Pot of Prosperity",1,2,"atlantean-mermail-548094","Mermail"
"124",6,8267140,"Cosmic Cyclone",3,2,"atlantean-mermail-548094","Mermail"
"125",7,65681983,"Crossout Designator",3,2,"atlantean-mermail-548094","Mermail"
"126",0,17080584,"Abyssrhine, the Atlantean Spirit",3,0,"atlantean-mermail-548352","Mermail"
"127",1,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-548352","Mermail"
"128",2,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-548352","Mermail"
"129",3,58471134,"Mermail Abysspike",3,0,"atlantean-mermail-548352","Mermail"
"130",4,21954587,"Mermail Abyssmegalo",1,0,"atlantean-mermail-548352","Mermail"
"131",5,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-548352","Mermail"
"132",6,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-548352","Mermail"
"133",7,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-548352","Mermail"
"134",8,71978434,"Deep Sea Minstrel",1,0,"atlantean-mermail-548352","Mermail"
"135",9,13959634,"Moulinglacia the Elemental Lord",1,0,"atlantean-mermail-548352","Mermail"
"136",10,88307361,"Superancient Deepsea King Coelacanth",1,0,"atlantean-mermail-548352","Mermail"
"137",11,73421698,"Shif, Fairy of the Ghoti",1,0,"atlantean-mermail-548352","Mermail"
"138",12,42141493,"Mulcharmy Fuwalos",3,0,"atlantean-mermail-548352","Mermail"
"139",13,84192580,"Mulcharmy Purulia",3,0,"atlantean-mermail-548352","Mermail"
"140",14,81878201,"Abyss-sting Triaina",1,0,"atlantean-mermail-548352","Mermail"
"141",15,72060415,"Deep Sea Aria",1,0,"atlantean-mermail-548352","Mermail"
"142",16,89558743,"Small World",1,0,"atlantean-mermail-548352","Mermail"
"143",17,84211599,"Pot of Prosperity",1,0,"atlantean-mermail-548352","Mermail"
"144",18,25311006,"Triple Tactics Talent",3,0,"atlantean-mermail-548352","Mermail"
"145",19,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-548352","Mermail"
"146",20,40366667,"Dominus Impulse",3,0,"atlantean-mermail-548352","Mermail"
"147",0,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1,"atlantean-mermail-548352","Mermail"
"148",1,74371660,"Mermail Abyssgaios",1,1,"atlantean-mermail-548352","Mermail"
"149",2,67557908,"Number 4: Stealth Kragen",1,1,"atlantean-mermail-548352","Mermail"
"150",3,440556,"Bahamut Shark",2,1,"atlantean-mermail-548352","Mermail"
"151",4,90809975,"Toadally Awesome",2,1,"atlantean-mermail-548352","Mermail"
"152",5,21044178,"Abyss Dweller",1,1,"atlantean-mermail-548352","Mermail"
"153",6,46956301,"White Aura Porpoise",1,1,"atlantean-mermail-548352","Mermail"
"154",7,9464441,"Adamancipator Risen - Dragite",1,1,"atlantean-mermail-548352","Mermail"
"155",8,72309040,"Ghoti of the Deep Beyond",1,1,"atlantean-mermail-548352","Mermail"
"156",9,79130389,"Marincess Coral Anemone",1,1,"atlantean-mermail-548352","Mermail"
"157",10,23545031,"Mermail Abyssalacia",1,1,"atlantean-mermail-548352","Mermail"
"158",11,82184400,"Abyss Keeper",1,1,"atlantean-mermail-548352","Mermail"
"159",12,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-548352","Mermail"
