,id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
110,416,Chile National Championship 2023,Chile,2023-06-03,,TCG,chile-national-championship-2023-416,462,0
111,414,Trinidad and Tobago National Championship 2023,Trinidad and Tobago,2023-06-03,Ajay Sieunarine,TCG,trinidad-and-tobago-national-championship-2023-414,306,0
112,412,Argentina National Championship 2023,Argentina,2023-06-03,Julian Jimenez,TCG,argentina-national-championship-2023-412,504,0
113,406,Italy National Championship 2023,Italy,2023-06-03,Lorenzo Muselli,TCG,italy-national-championship-2023-406,1643,0
114,405,Netherlands National Championship 2023,Netherlands,2023-06-03,Baptiste Derouin,TCG,netherlands-national-championship-2023-405,348,0
115,398,Slovenia National Championship 2023,Slovenia,2023-06-03,Urban Kastelic,TCG,slovenia-national-championship-2023-398,112,0
116,383,YCS Philadelphia,United States,2023-05-28,Denis Nadas,TCG,ycs-philadelphia-383,2265,0
117,394,South Africa State Championship 2023,South Africa,2023-05-27,,TCG,south-africa-state-championship-2023-394,100,0
118,392,Hungary National Championship 2023,Hungary,2023-05-27,Oros Máté,TCG,hungary-national-championship-2023-392,143,0
119,391,Finland National Championship 2023,Finland,2023-05-27,Janis Bernhards,TCG,finland-national-championship-2023-391,51,0
120,385,Peru National Championship 2023,Peru,2023-05-27,Joseph Mendez,TCG,peru-national-championship-2023-385,486,0
121,380,UK National Championship 2023,United Kingdom,2023-05-27,Danny Khan,TCG,uk-national-championship-2023-380,1022,0
122,410,Dominican Republic National Championship 2023,Dominican Republic,2023-05-21,Giancarlos Valdez,TCG,dominican-republic-national-championship-2023-410,200,0
123,393,Ecuador National Championship 2023,Ecuador,2023-05-21,,TCG,ecuador-national-championship-2023-393,310,1
124,379,Panama National Championship 2023,Panama,2023-05-21,Carlos De Gracia,TCG,panama-national-championship-2023-379,200,0
125,372,Colombia National Championship 2023,Colombia,2023-05-21,Marco Lopez,TCG,colombia-national-championship-2023-372,300,0
126,359,New South Wales State Championship 2023,Australia,2023-05-21,Poe Jiang,TCG,new-south-wales-state-championship-2023-359,118,0
127,353,Western Australia State Championship,Australia,2023-05-21,Yatin Patel,TCG,western-australia-state-championship-353,64,1
128,352,Spain National Championship 2023,Spain,2023-05-21,Antonio Torres,TCG,spain-national-championship-2023-352,380,0
129,417,Venezuela National Championship 2023,Venezuela,2023-05-20,Carlos Eduardo Hung Tineo,TCG,venezuela-national-championship-2023-417,200,0
130,370,Mexico National Championship 2023,Mexico,2023-05-20,Edgar Cabanas,TCG,mexico-national-championship-2023-370,600,1
131,366,South Island State Championship 2023,New Zealand,2023-05-20,Andrew Doodson,TCG,south-island-state-championship-2023-366,50,0
132,365,Belgium National Championship 2023,Belgium,2023-05-20,Christophe Faite,TCG,belgium-national-championship-2023-365,198,0
133,364,Austria National Championship 2023,Austria,2023-05-20,An Qi Xu,TCG,austria-national-championship-2023-364,300,0
134,358,YCS Santiago,Chile,2023-05-20,Eddie Andre Alba,TCG,ycs-santiago-358,488,0
